2026-07-10T15:29:00.071799Z | transaction_validator | TXN001 | validated | src=ACC-****1001 dst=ACC-****2001
2026-07-10T15:29:00.073807Z | fraud_detector | TXN001 | scored_low | src=ACC-****1001 dst=ACC-****2001
2026-07-10T15:29:00.076830Z | settlement_processor | TXN001 | settled | src=ACC-****1001 dst=ACC-****2001
2026-07-10T15:29:00.082062Z | transaction_validator | TXN002 | validated | src=ACC-****1002 dst=ACC-****3001
2026-07-10T15:29:00.084897Z | fraud_detector | TXN002 | scored_low | src=ACC-****1002 dst=ACC-****3001
2026-07-10T15:29:00.086726Z | settlement_processor | TXN002 | settled | src=ACC-****1002 dst=ACC-****3001
2026-07-10T15:29:00.089612Z | transaction_validator | TXN003 | validated | src=ACC-****1003 dst=ACC-****9999
2026-07-10T15:29:00.091996Z | fraud_detector | TXN003 | scored_low | src=ACC-****1003 dst=ACC-****9999
2026-07-10T15:29:00.095877Z | settlement_processor | TXN003 | settled | src=ACC-****1003 dst=ACC-****9999
2026-07-10T15:29:00.098901Z | transaction_validator | TXN004 | validated | src=ACC-****1004 dst=ACC-****5500
2026-07-10T15:29:00.100663Z | fraud_detector | TXN004 | scored_medium | src=ACC-****1004 dst=ACC-****5500
2026-07-10T15:29:00.102501Z | settlement_processor | TXN004 | settled | src=ACC-****1004 dst=ACC-****5500
2026-07-10T15:29:00.105377Z | transaction_validator | TXN005 | validated | src=ACC-****1005 dst=ACC-****6600
2026-07-10T15:29:00.107274Z | fraud_detector | TXN005 | scored_high | src=ACC-****1005 dst=ACC-****6600
2026-07-10T15:29:00.109943Z | settlement_processor | TXN005 | held | src=ACC-****1005 dst=ACC-****6600
2026-07-10T15:29:00.124080Z | transaction_validator | TXN006 | rejected | src=ACC-****1006 dst=ACC-****7700
2026-07-10T15:29:00.129353Z | transaction_validator | TXN007 | rejected | src=ACC-****1007 dst=ACC-****8800
2026-07-10T15:29:00.133619Z | transaction_validator | TXN008 | validated | src=ACC-****1008 dst=ACC-****9900
2026-07-10T15:29:00.135333Z | fraud_detector | TXN008 | scored_low | src=ACC-****1008 dst=ACC-****9900
2026-07-10T15:29:00.137353Z | settlement_processor | TXN008 | settled | src=ACC-****1008 dst=ACC-****9900
